time,q_layer,c_layer,q_dimension,c_dimension,coupling_strength,phase_coherence,overlap,q_uncertainty_x,q_uncertainty_k,q_uncertainty_product,q_coherence,q_entropy,q_ipr,q_num_peaks,q_x_expectation,c_uncertainty_x,c_uncertainty_k,c_uncertainty_product,c_coherence,c_entropy,c_ipr,c_num_peaks,c_x_expectation,similarity_overlap,similarity_trace_distance,similarity_fidelity,similarity_js_divergence
0.0,1,3,64,64,0.19510312341383998,1.0,0.3107916073729928,3.009851353238215,8.42314081358781,25.35240177629331,53.22453558783516,3.875753587813362,41.51766620235463,21,-0.01646631834227398,0.5592454783537159,1.0031754064853795,0.5610213100725994,18.12426519739445,2.6005623328370824,11.279171900683652,12,-0.0005979741637214819,0.3107916073729928,0.7984872510195953,0.4675367325257369,0.43693236207954
0.02,1,3,64,64,0.191443619381638,1.0,0.23132474593264407,3.011618462558235,11.845785616725848,35.67498666683836,48.913910389047516,3.7288128946676586,32.54829294856359,22,0.0874531982517871,0.6972349557189149,1.0150427222630953,0.7077232675099161,21.63369530837437,2.6741377562630406,11.579361197136944,14,-0.0008732544272281179,0.23132474593264407,0.7557570017730004,0.5513020807544577,0.38392012564716493
0.04,1,3,64,64,0.18199365223544517,1.0,0.1532398299422284,3.0259363134488315,14.509108759785503,43.90363907201349,50.50639621880796,3.7880277423359945,35.215696804843724,24,0.23440890467025008,0.8651228161507387,1.0659866888353007,0.9222094062243965,25.063295099016933,2.7679556234102805,12.059895583568565,16,-0.001836973774360217,0.1532398299422284,0.7131920204258032,0.6224800378072262,0.3331383492461386
0.06,1,3,64,64,0.16447138861844485,1.0,0.10702724644314364,3.048528672902402,15.954390752205343,48.63741766678691,52.634851228871625,3.8450514655288255,38.630404599637686,20,0.36176833847414236,1.0369858728275396,1.2243844888545052,1.2696694178512902,28.20519633114933,2.8683131621593976,12.685160940519323,17,-0.002583066556666083,0.10702724644314364,0.6804413901472186,0.6608477551192039,0.30400040874742085
0.08,1,3,64,64,0.14892974551501945,1.0,0.10322167851228335,3.071473620574197,16.647071346450733,51.13104050044001,52.71536194665866,3.847749681188124,38.205437359695274,19,0.4563642620255382,1.2070981306459208,1.6563729533722724,1.9994046956681328,31.19971377420926,2.9730420723071287,13.492396748052117,22,-0.004684343904651075,0.10322167851228335,0.6602311960656337,0.684497912997128,0.2847586986333059
0.1,1,3,64,64,0.14746908801977926,1.0,0.14952744183539227,3.096990103544861,17.01475234637583,52.694519630992644,53.091499055838554,3.855281721621063,38.20181653666288,14,0.5319465975561757,1.392540420314401,2.782256171372245,3.874404178305042,33.97310991586977,3.085334286122598,14.494719486554123,18,-0.01683902881903811,0.14952744183539227,0.6393946410997593,0.7034901958663213,0.2669085330634629
0.12,1,3,64,64,0.16337372289340069,1.0,0.26796866129124064,3.1245844245847167,17.243291584766336,53.87812031433361,53.44483225874716,3.860035560934521,37.94247809260769,12,0.5964021818727734,1.6658130810523404,5.253328255813737,8.751062927596399,37.47386052825003,3.2361002240970222,16.5737535722031,25,-0.051183990448347885,0.26796866129124064,0.5882299333088447,0.7366117618610148,0.23777347599402332
0.14,1,3,64,64,0.18716346062192238,1.0,0.47557116119786824,3.158453683427961,17.410028278107387,54.98876794357324,53.528853797419785,3.8586053059489664,37.410544742454555,11,0.6575275205214886,2.1213357914868327,9.468968445288438,20.086861671449793,45.01170288265202,3.5011237951634318,20.40937674302927,24,-0.14442976266128946,0.47557116119786824,0.4959520826922849,0.8221439264410472,0.16686418697369676
0.16,1,3,64,64,0.19829418991063663,1.0,0.6999793599121812,3.1980222369894844,17.537731437829702,56.086055124528954,53.38676618904823,3.8522332446491645,36.732610379365994,10,0.7151369249050495,2.670852205968573,13.98832028956677,37.36073610318436,48.32897092158743,3.724410398809883,32.283511646734226,25,-0.26628756797141584,0.6999793599121812,0.34775362955990297,0.8847672763821366,0.10851978389621283
0.18,1,3,64,64,0.19981775218315884,1.0,0.823404422185885,3.2452817165016015,17.64155196836461,57.251806053646504,53.06907306018103,3.8405023480536657,35.77698380401121,9,0.7727540019021939,3.014813802379292,16.501129342744072,49.747832497350764,53.05192851259085,3.860428697379347,39.0398568650875,19,-0.30914240857569786,0.823404422185885,0.2645413050622078,0.9282408648725043,0.06837680403773694
0.2,1,3,64,64,0.19994692197513053,1.0,0.8648680009088087,3.2995804845134833,17.726494256922653,58.48999450898233,52.618633117775374,3.8233018393587663,34.50470183314902,9,0.8312940693722061,3.1739940732210354,17.38144601423011,55.16860663317776,54.39323065542612,3.9068723614284915,42.76073811701716,17,-0.28028471232212154,0.8648680009088087,0.21324588617913132,0.9490014428541307,0.048678897025725906
0.22,1,3,64,64,0.1999649345156908,1.0,0.8776766027408792,3.3602381388800793,17.797143583834142,59.80264063352438,52.00292276129878,3.799258804359244,32.9002017583132,8,0.8919177737914573,3.274475765618985,17.68119546393113,57.896646053814806,54.52660642975626,3.908402165961417,42.342726670721845,11,-0.23064835745875506,0.8776766027408792,0.1894492114530168,0.9562110459762223,0.041858783006776284
0.24,1,3,64,64,0.19996914951862937,1.0,0.8831565633364987,3.4261731613429527,17.855849167901173,61.17723119205089,51.1910435401846,3.7673084813291573,31.01043956147763,8,0.9547963695090498,3.3661635420442027,17.820405470723056,59.98639919999301,54.24104495922448,3.897291631014794,41.15679897774651,9,-0.17911625886821567,0.8831565633364987,0.18204241210296523,0.9593307711330644,0.03900891510274125
0.26,1,3,64,64,0.19997079438534696,1.0,0.8870438633666087,3.495926634376369,17.904200601824822,62.59177175113681,50.16748942884654,3.726602404533909,28.914973916746625,8,1.0198040628294125,3.4599822546477337,17.91079801396651,61.97104329490399,53.73218276069544,3.8740623957173375,39.16173101843389,8,-0.12945204307174105,0.8870438633666087,0.1823863844695688,0.9616220606307311,0.036986395695846504
0.28,1,3,64,64,0.1999719077555289,1.0,0.8908244046443476,3.567735659346853,17.943008449971458,64.01591108292507,48.91902154150979,3.676583662861363,26.718446632290505,8,1.0865120499630434,3.5563723767942363,17.978077637483633,63.93673869780898,52.82221627620417,3.837703991027251,36.64926579851006,8,-0.08194121200953003,0.8908244046443476,0.18355947423294086,0.9637316877334206,0.035143576230451466
0.3,1,3,64,64,0.19997294982867042,1.0,0.8949282386711698,3.6396043378373153,17.972478415474658,65.41271040264908,47.429684544824596,3.6171238956455305,24.531511883149847,8,1.1542114083410084,3.6532601580915887,18.02718744163323,65.85800564296773,51.5215893482671,3.7887780512357665,33.847154421490096,8,-0.03631196203871072,0.8949282386711698,0.1857556362178051,0.9656146969884549,0.03349534422428179
0.32,1,3,64,64,0.19997403731182964,1.0,0.8994896398639791,3.7094698757203126,17.99248184857122,66.74256940671947,45.69676485281845,3.548810902981404,22.451795739452972,8,1.2219690974133357,3.7480385380808934,18.05884596434181,67.68525062761972,49.878581168224656,3.728554524480976,31.005916976624018,7,0.007725141835003321,0.8994896398639791,0.18761255595454784,0.9672587384309934,0.03204099197504683
0.34,1,3,64,64,0.19997519482716855,1.0,0.9045120192160812,3.775398362805209,18.00284228607005,67.96790129266925,43.74066098728622,3.4730539392423454,20.550768556930993,9,1.28872519392226,3.838235366090825,18.073312214031805,69.36962612229814,47.94130165892901,3.6589121073258113,28.321488165431354,7,0.050362978200590144,0.9045120192160812,0.18940948400319613,0.9686771853713675,0.030765644266413646
0.36,1,3,64,64,0.1999764097263161,1.0,0.90990922509816,3.835777707411746,18.003583320990472,69.05774355618517,41.60436183041183,3.3919856683940957,18.86914844060471,8,1.3534164783159954,3.9218269979901055,18.071378830104354,70.8728213868101,45.77184826902344,3.582466596768487,25.917077629138156,7,0.09167053025517069,0.90990922509816,0.1915464837084404,0.9698954529021779,0.029650566121272284
0.38,1,3,64,64,0.19997764905429527,1.0,0.9155321518782679,3.8894647663402644,17.99509833717862,69.99130094928452,39.3473673088067,3.3082128907836266,17.419755867410938,7,1.415101106827648,3.997400841089577,18.05469090440684,72.17183660688823,43.44678375301902,3.5022946770662537,23.84606033861896,6,0.13160934110638334,0.9155321518782679,0.19329393478536797,0.9709406705936109,0.028678419663839445
0.4,1,3,64,64,0.1999788710217239,1.0,0.9212007112193501,3.9358571386027115,17.97821222370252,70.75967491997409,37.03737094224509,3.224478618716293,16.194517834345554,7,1.4730559886645722,4.064217811306856,18.02568981630936,73.2603296125371,41.04803176598763,3.421540826435465,22.110370201840972,6,0.17006826475690506,0.9212007112193501,0.1946442959966508,0.971842640646186,0.027828645178611486
0.42,1,3,64,64,0.1999800353001847,1.0,0.9267369277922466,3.974880069985015,17.95413068262473,71.36551622427149,34.741562566143,3.143315877737088,15.172379730963259,7,1.5268272622044903,4.122177562465264,17.98732128389412,74.14693220532223,38.6534003016548,3.3430394021235705,20.681215293974006,6,0.2068998477974234,0.9267369277922466,0.19572307319110474,0.9726289862605938,0.027080594349397497
0.44,1,3,64,64,0.1999811104489367,1.0,0.9319913163557882,4.006901848656323,17.924306598262017,71.8209372444588,32.51928854496067,3.066774264368972,14.326086433672613,7,1.5762294359348599,4.171703144909165,17.94265593250107,74.85143418163779,36.32960166587303,3.269035853742818,19.51567093589049,6,0.24195198259208628,0.9319913163557882,0.19631222330345965,0.9733218645037499,0.02641676386222602
0.46,1,3,64,64,0.1999820772677668,1.0,0.9368577330636733,4.03260667577996,17.89027374263876,72.14443732609601,30.417285700668,2.9962696703272753,13.627059069230993,7,1.6213034086551972,4.213581862045584,17.89454317103643,75.40012253507078,34.12816752132822,3.201048854067838,18.567576664633204,6,0.275090908034419,0.9368577330636733,0.19677874596828213,0.9739380142841281,0.025823343440495545
0.48,1,3,64,64,0.1999829285077269,1.0,0.9412764167525788,4.0528575671196725,17.85349616130779,72.3576770168983,28.467790645997404,2.932563929163405,13.048415333558234,7,1.662251997604461,4.2488008736086345,17.845374936022413,75.82144461804566,32.08420327239382,3.1398716608827764,17.79364433460838,6,0.3062139206082551,0.9412764167525788,0.1968926560995244,0.9744900231895863,0.02528955492982237
0.5,1,3,64,64,0.1999836663596457,1.0,0.9452283151600908,4.068575138289152,17.815263023066176,72.48273621772908,26.689058289818735,2.875845903948398,12.566534739322169,7,1.6993720177449503,4.278405864566492,17.79698183078942,76.14271143643276,30.217468355334834,3.085676656564973,17.156293937367785,6,0.3352532849104067,0.9452283151600908,0.19664375065005552,0.9749875376414656,0.024806878707082255
0.52,1,3,64,64,0.1999842992106698,1.0,0.9487249759273891,4.080646574569799,17.776636512193832,72.54017089085617,25.08744817929202,2.8258694857761633,12.161627527933211,6,1.7329965911929717,4.303397351843836,17.750640102684773,76.38805761142666,28.534922221021787,3.0381737380020213,16.62452070706727,6,0.36217441366054637,0.9487249759273891,0.19620733545754246,0.9754381785849029,0.024368418488631947
0.54,1,3,64,64,0.19998483868562264,1.0,0.9517976643579116,4.089868066162068,17.738444375040796,72.54789719287152,23.660220337513618,2.782105996087789,11.817693039928953,6,1.7634541213776829,4.324666868512902,17.707148199193714,76.57751715290095,27.033859517972825,2.996778221020822,16.173693146559113,6,0.3869712818441271,0.9517976643579116,0.19556712452074299,0.9758481616016891,0.023968451530635655
0.56,1,3,64,64,0.1999852974273837,1.0,0.9544879770488593,4.096916531883663,17.701301981500567,72.52075672387471,22.398378063954564,2.743880932545837,11.52214873294178,6,1.7910443230560174,4.342967165149431,17.666932872051156,76.7269093722173,25.704980784183746,2.960758339904686,15.784837548067694,6,0.4096612067719412,0.9544879770488593,0.19476811369627856,0.9762226675424308,0.023602156378340275
0.58,1,3,64,64,0.1999856876713264,1.0,0.9568408839175278,4.102343060522458,17.665649123239973,72.47055309034813,21.289156625350667,2.710479767664725,11.265317070626956,6,1.8160281332956567,4.358907148419272,17.63015620777876,76.84821392183524,24.53502600250502,2.9293480017539175,15.443730487593278,6,0.43028019243989857,0.9568408839175278,0.1938447978738398,0.9765660471473445,0.023265463121685058
0.6,1,3,64,64,0.1999860204729428,1.0,0.9589002194681657,4.106580173157815,17.631790568368032,72.40636156533112,20.317987014169475,2.6812194506853215,11.039885631362763,6,1.8386270811745349,4.372962255377221,17.596807908837093,76.95017680046797,23.50882696301941,2.9018224282093135,15.139976438643144,5,0.44887928304500346,0.9589002194681657,0.19283588783230282,0.9768819426274995,0.022954962930103864
0.62,1,3,64,64,0.19998630539478335,1.0,0.9607061838559474,4.1099563634086005,17.599933737260255,72.3349596590225,19.469929233251847,2.655489599545313,10.840405043960551,6,1.8590279699545256,4.3854926938869845,17.566777196167603,77.03897304893351,22.61078189614331,2.877541406380315,14.866162071181622,5,0.4655218994437229,0.9607061838559474,0.19177257232294723,0.9771733864990049,0.02266783217461419
0.64,1,3,64,64,0.19998655047812486,1.0,0.9622942810035958,4.1127132762701315,17.57022032451959,72.26127839564302,18.730720165018806,2.6327705494684595,10.662855476581852,5,1.8773897041773746,4.396764226601797,17.539904735591357,77.11882567945153,21.825832371669804,2.8559678246478715,14.617128478912736,5,0.4802819199645605,0.9622942810035958,0.19067382973286034,0.9774429376640839,0.022401746962968823
0.66,1,3,64,64,0.19998676236849514,1.0,0.9636951689853925,4.115022664357141,17.542750962356326,72.18881780526932,18.08784523752614,2.612635758930609,10.50429107996178,5,1.8938502007916493,4.406968232729236,17.51601771369731,77.19253362818662,21.140048715829273,2.836669395927318,14.389373076772896,4,0.49324222829302306,0.9636951689853925,0.18956529518323836,0.9776929450441618,0.02215478863087298
0.68,1,3,64,64,0.19998694650797513,1.0,0.9649349993052484,4.117001626894607,17.517602710459617,72.11999885825561,17.52929216961581,2.5947447960258345,10.36255951831067,6,1.9085322443704589,4.416239355415243,17.494952053172984,77.26189577832524,20.540929698799047,2.819310299786843,14.180576115496523,4,0.5044934951504556,0.9649349993052484,0.18846731643833634,0.9779248523180128,0.021925441855690352
0.7000000000000001,1,3,64,64,0.19998710733961433,1.0,0.9660360025117788,4.118725551763346,17.494840394016958,72.05644615485916,17.04302414292675,2.5788319715331873,10.23608707480494,6,1.921547903799454,4.424670098784657,17.476565124045678,77.32803513382768,20.01751738702196,2.803637845697871,13.989238015867386,5,0.5141330264041974,0.9660360025117788,0.18739526413904958,0.9781395326033284,0.02171245137744546
0.72,1,3,64,64,0.19998724850064856,1.0,0.9670171704441284,4.120238715177831,17.474525613706515,71.99921696296023,16.619721959810043,2.5646937203069275,10.123717953562638,6,1.933001465951734,4.432322418345329,17.460740692693392,77.39163241313948,19.560354349446122,2.7894673372720833,13.814409075101345,5,0.5222636702106129,0.9670171704441284,0.186359910483402,0.9783384546490976,0.021514563274382965
0.74,1,3,64,64,0.1999873729946258,1.0,0.9678948116163881,4.121562773067825,17.456719013363657,71.94896322538493,16.25177497728955,2.552176257221051,10.02459714828878,6,1.9429909284298807,4.439236584395235,17.44739045367282,77.45309400417256,19.161382908783423,2.7766675451345284,13.6554944606465,5,0.5289926613490246,0.9678948116163881,0.18536845495316495,0.9785231138857247,0.02133050531427221
0.76,1,3,64,64,0.1999874833226381,1.0,0.9686830741455432,4.122703465483442,17.441480801586277,71.90605334386265,15.932783515722544,2.54116449511032,9.938085766239958,6,1.9516085321374845,4.445437803355096,17.43645215993292,77.51266358815842,18.813808018755935,2.7651477547027214,13.51211718897297,5,0.5344304552254986,0.9686830741455432,0.18442459277740086,0.9786949688237869,0.021158965794211622
0.78,1,3,64,64,0.19998758159296648,1.0,0.9693943764869688,4.123655870196168,17.42886949899733,71.87066002042329,15.657371785861566,2.5315727495863474,9.863700687943984,6,1.9589405707839356,4.450941066956407,17.42788574299058,77.57049236370084,18.511940399385992,2.754846816575469,13.38402458585385,6,0.5386895765978539,0.9693943764869688,0.1835288282348664,0.9788555154756227,0.020998547036897033
0.8,1,3,64,64,0.19998766960654815,1.0,0.9700397482334975,4.1244085023922095,17.418939464900077,71.84282203168908,15.421038905836083,2.5233371911292233,9.801071948196435,6,1.9650667386904943,4.455754649144547,17.42166835513825,77.6266797692617,18.251038714519694,2.7457242649101694,13.271026458666116,5,0.5418835005266018,0.9700397482334975,0.18267866326963308,0.9790063506525473,0.02084772356881582
0.8200000000000001,1,3,64,64,0.1999877489223331,1.0,0.9706290932248607,4.12494650257313,17.411737775892707,71.82248684238907,15.220023580005325,2.5164098507518577,9.749912720330386,5,1.9700592467561042,4.459882603032233,17.417788958184733,77.68129395789502,18.027160414210176,2.737753333800768,13.172955683536445,5,0.5441255795824548,0.9706290932248607,0.18186891939451513,0.9791492142835944,0.02070481228514303
